birth_date,player_id,Player
11/8/1988,257,J. Kerley
5/11/1988,260,J. Maclin
3/16/1988,289,Je. Ross
2/6/1990,256,J. Kearse
6/16/1982,231,J. Cotchery
4/24/1999,254,J. Jeudy
1/4/1998,271,J. Reed
4/3/1990,291,Jo. Brown
5/31/1996,246,J. Hightower
11/27/1995,293,Jo. Ross
8/22/1991,247,J. Holton
12/23/1995,255,J. Johnson
9/28/1986,267,J. Norwood
2/18/1992,277,J. Taylor
5/31/1985,292,Jo. Nelson
3/23/1988,296,Joe. Morgan
5/18/1989,223,J. Bellamy
5/6/1991,225,J. Boyce
12/3/1992,236,J. Doctson
4/13/1991,240,J. Gordon
10/14/1991,248,J. Huff
3/21/1996,261,J. Malone
2/16/1995,272,J. Reynolds
3/24/1994,294,Jo. Smith
11/22/1996,275,J. Smith-Schuster
5/22/1986,237,J. Edelman
2/8/1989,299,Ju. Jones
1/9/1990,224,J. Blackmon
12/18/1991,243,J. Hardy
5/20/1991,249,J. Hunter
4/4/1996,280,J. Watson
9/4/1996,282,J. Winfree
7/8/1999,312,K. Hamler
9/15/1997,314,K. Hill
6/10/1997,323,K. Osborn
1/2/1992,305,K. Clay
8/8/1994,324,K. Raymond
5/30/1989,300,K. Aiken
12/5/1992,331,K. Williams
4/20/1993,306,K. Cole
3/21/1996,308,K. Doss
4/27/1992,301,K. Allen
10/9/1996,317,K. Johnson
12/26/1994,318,K. Kirkwood
1/14/1997,307,K. Coutee
2/5/1991,302,K. Benjamin
12/15/1996,313,K. Harmon
7/29/1988,327,K. Thompkins
2/19/1997,315,K. Hinton
11/12/1989,332,K. Wright
8/4/1995,303,K. Bourne
9/19/1988,304,K. Britt
11/3/1993,311,K. Golladay
4/22/1992,325,K. Stills
3/15/1990,319,K. Martin
9/23/1989,321,K. Norwood
6/25/1992,330,K. White
1/3/1995,316,K. Hodge
8/31/1983,341,L. Moore
6/14/1995,345,L. Treadwell
8/31/1983,336,L. Fitzgerald
